"ID_plot","perc.Impervious.surfaces","Population.density","Prop.Neophytes","BNIs","SR","SR.nat","SR.arc","SR.neo","Rao.Q"
"Oh_10",14.96974977,2.697037616,0.027027027027027,0.0723155696348975,37,31,5,1,0.0737053486672157
"Oh_12",6.692000501,1.719878222,0.0833333333333333,0.119093365361534,24,18,4,2,0.0777127514238832
"Ol_03",7.392669123,2.722309868,0.0714285714285714,0.350406876099467,42,25,14,3,0.0816613044534422
"Ol_06",11.89397981,12.23155805,0.1,0.183040217117763,20,13,5,2,0.0651158760455021
"Ol_11",1.495169104,0,0.0625,0.197326790530294,32,24,6,2,0.056820733085915
"Ol_16",0.100126067,0,0,0.17825491690715,19,12,7,0,0.0808370503601017
"Ol_55",7.534940189,2.12050328,0.0212765957446809,0.173865670309897,47,38,8,1,0.0712306951987757
"Om_02",17.25246392,11.92875509,0.05,0.0842198881346829,40,34,4,2,0.0712510519240106
"Om_05",1.190420833,0.031340832,0.0333333333333333,0.541070414560936,30,22,7,1,0.0959463455983875
"Om_06",3.042456629,0.202868797,0.0526315789473684,0.216990895355843,19,14,4,1,0.0518706031003784
"Om_08",18.68803831,12.13017985,0,0.226440724629437,29,24,5,0,0.0800557548267852
"Ol_50",2.14418511,0.033178759,0.114285714285714,0.271113449590535,35,22,9,4,0.0773866817354771
"Om_15",0.228398343,0.064443144,0,0.0396842724283502,23,20,3,0,0.0515856160002952
