"Species_name","Accepted_name","Family","Tribe","Frequency","Freq_rural","Freq_suburb","Freq_urban","Status_Berlin","first_evidence","Flowering_beg","Flowering_end","fl_period","phenology_score","main_pollination","Mueller_flower_type","pollen_score","trait_source","allergenicity_strict","allergenicity","allergen_score","PAV","IUIS","SDAP","Allergenonline","Allergome","AllFam","additional_ref","react_europe_Allergome","FDA_allergen_code","ref_severity","Comment_severity","molecule_unknown"
"Senecio inaequidens","Senecio_inaequidens","Asteraceae","Senecioneae",2,0,1,1,"N",1993,"July","December",5,3,"insects","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,1,2,6,0,0,0,0,0,1,"",,"Luengo 2008","strong cross-reactivity of Senecio species in Luengo et al.",0
"Senecio jacobaea","Senecio_jacobaea","Asteraceae","Senecioneae",5,1,3,1,"I",,"July","September",2,2,"insects","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",1,"BioFlor- 2018",1,1,2,4,0,0,0,1,0,1,,,"Luengo 2008","Cross reactive with Artemisia vulgaris; affected 13.5 % of hay fever patients in the Luengo study.",0
"Senecio vernalis","Senecio_vernalis","Asteraceae","Senecioneae",2,0,1,1,"N",1859,"May","November",6,3,"insects","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,1,2,6,0,0,0,0,0,1,"",,"Luengo 2008","strong cross-reactivity of Senecio species in Luengo et al.",0
"Setaria viridis","Setaria_viridis","Poaceae","Paniceae",13,5,2,6,"A",,"June","October",4,3,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,2,18,0,0,0,0,0,1,"",,"Weber 2004","cross-reactivity within Panicoidae; Grass 1 allergens = upgrade to moderate allergen",0
"Silene conica","Silene_conica","Caryophyllaceae","Sileneae",1,1,0,0,"N",1853,"June","July",1,1,"selfing","B (flowers with totally hidden nectar)Typical pollinators: bees, bumblebees, wasps, bombylides, syrphids",0,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Silene latifolia subsp. alba","Silene_latifolia","Caryophyllaceae",,10,0,6,4,"I",,"June","September",3,3,"insects",,1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Silene vulgaris","Silene_vulgaris","Caryophyllaceae","Sileneae",1,0,0,1,"I",,"May","September",4,3,"insects","FHh (transition type butterfly flowers - bumble bee flowers)Typical pollinators: lepidoptera, bumble bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Sisymbrium loeselii","Sisymbrium_loeselii","Brassicaceae","Sisymbrieae",1,0,0,1,"N",1868,"June","August",2,2,"insects","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Solanum nigrum","Solanum_nigrum","Solanaceae","Solaneae",1,0,0,1,"A",,"June","October",4,3,"insects-selfing","Po (pollen flowers)Typical pollinators: short tongued bees, syrphids, flies, beetles",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Solidago canadensis","Solidago_canadensis","Asteraceae","Astereae",5,2,2,1,"N",1862,"August","October",2,2,"insects","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",1,"BioFlor- 2018",1,1,1,2,0,0,0,0,0,1,"",1118,"Goldberg 1998","",1
"Spergula morisonii","Spergula_morisonii","Caryophyllaceae","Sperguleae",4,4,0,0,"I",,"April","June",2,2,"insects","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Spergularia rubra","Spergularia_rubra","Caryophyllaceae","Sperguleae",1,0,1,0,"I",,"May","September",4,3,"insects-selfing","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Stellaria graminea","Stellaria_graminea","Caryophyllaceae","Alsineae",3,1,2,0,"I",,"May","July",2,2,"insects","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Stellaria media","Stellaria_media","Caryophyllaceae","Alsineae",4,3,1,0,"I",,"January","December",11,3,"insects","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,1,"",,"Hruska 2003","anecdotal evidence only; no further evidence",0
"Stellaria pallida","Stellaria_pallida","Caryophyllaceae","Alsineae",12,3,4,5,"I",,"March","May",2,2,"selfing","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",0,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Tanacetum vulgare","Tanacetum_vulgare","Asteraceae","Anthemideae",6,3,3,0,"I",,"July","September",2,2,"insects","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,1,1,2,0,0,0,0,0,0,"",1260,"","only contact dermatitis reported",1
"Taraxacum sect. Erythrosperma","Taraxacum_sect._Erythrosperma","Asteraceae","Cichorieae",5,0,4,1,"I",,"April","June",2,2,"insects",,1,"BioFlor- 2018",0,1,2,4,0,0,0,0,0,1,"",,"","Assumed similar to Taraxacum sect. Ruderalia",0
"Taraxacum sect. Ruderalia","Taraxacum","Asteraceae","Cichorieae",15,4,8,3,"I",,"March","october",8,3,"insects",,1,"BioFlor- 2018",1,1,2,6,0,0,0,0,0,1,"",588,"Bousquet et al. 1984; Yong et al. 2007","Yong study with T. vulgare: cross reactivity with Artemisia vulgaris. 8.5% positive reactions to SPT",0
"Teesdalia nudicaulis","Teesdalia_nudicaulis","Brassicaceae","Iberideae",4,3,1,0,"I",,"April","May",1,1,"insects","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Thymus pulegioides","Thymus_pulegioides","Lamiaceae","Mentheae",3,1,1,1,"I",,"June","October",4,3,"insects","B (flowers with totally hidden nectar)Typical pollinators: bees, bumblebees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Tragopogon","Tragopogon","Asteraceae","Cichorieae",2,2,0,0,"I",,"May","July",2,2,"selfing",,0,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Tragopogon dubius","Tragopogon_dubius","Asteraceae","Cichorieae",1,1,0,0,"I",,"May","July",2,2,"insects","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Tragopogon pratensis","Tragopogon_pratensis","Asteraceae","Cichorieae",1,0,0,1,"I",,"May","July",2,2,"insects","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Trifolium arvense","Trifolium_arvense","Fabaceae","Trifolieae",33,8,10,15,"I",,"June","September",3,3,"insects-selfing","H (hymenoptere flowers)Typical pollinators: hymenopteres",1,"BioFlor- 2018",0,1,1,3,0,0,0,0,0,0,"",,"","similar to Trifolium pratense",1
"Trifolium campestre","Trifolium_campestre","Fabaceae","Trifolieae",11,1,5,5,"I",,"June","September",3,3,"insects","H (hymenoptere flowers)Typical pollinators: hymenopteres",1,"BioFlor- 2018",0,1,1,3,0,0,0,0,0,0,"",,"","similar to Trifolium pratense",1
"Trifolium dubium","Trifolium_dubium","Fabaceae","Trifolieae",4,0,2,2,"I",,"May","September",4,3,"insects","H (hymenoptere flowers)Typical pollinators: hymenopteres",1,"BioFlor- 2018",0,1,1,3,0,0,0,0,0,0,"",,"","similar to Trifolium pratense",1
"Trifolium pratense","Trifolium_pratense","Fabaceae","Trifolieae",2,1,0,1,"I",,"June","September",3,3,"insects","Hh (bumble bee flowers)Typical pollinators: bumble bees",1,"BioFlor- 2018",1,1,2,6,0,0,0,0,0,1,"",1090,"Bousquet et al. 1984; Lucas & Buckley 1989","Lucas and Bousquet Show high (c. 13%) prevalence of skin test reaction",1
"Trifolium repens","Trifolium_repens","Fabaceae","Trifolieae",6,2,2,2,"I",,"May","September",4,3,"insects","Hb (bee flowers )Typical pollinators: bees",1,"BioFlor- 2018",1,1,1,3,0,0,0,0,0,1,"",1094,"","similar to Trifolium pratense",1
"Trifolium striatum","Trifolium_striatum","Fabaceae","Trifolieae",1,0,1,0,"N",1977,"June","July",1,1,"insects","H (hymenoptere flowers)Typical pollinators: hymenopteres",1,"BioFlor- 2018",0,1,1,1,0,0,0,0,0,0,"",,"","similar to Trifolium pratense",1
"Turritis glabra","Turritis_glabra","Brassicaceae","Turritideae",2,0,2,0,"I",,"May","July",2,2,"insects-selfing","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Verbascum lychnitis","Verbascum_lychnitis","Scrophulariaceae","Scrophularieae",3,0,3,0,"I",,"June","August",2,2,"insects","Po (pollen flowers)Typical pollinators: short tongued bees, syrphids, flies, beetles",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,1,"",,"Bikakci 2006","anecdotal evidence only",0
"Verbascum nigrum","Verbascum_nigrum","Scrophulariaceae","Scrophularieae",2,1,1,0,"I",,"June","September",3,3,"insects","Po (pollen flowers)Typical pollinators: short tongued bees, syrphids, flies, beetles",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,1,"",,"Bikakci 2006","anecdotal evidence only",0
"Veronica arvensis","Veronica_arvensis","Plantaginaceae","Veroniceae",41,15,12,14,"A",,"March","October",7,3,"insects-selfing","B (flowers with totally hidden nectar)Typical pollinators: bees, bumblebees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Veronica chamaedrys","Veronica_chamaedrys","Plantaginaceae","Veroniceae",5,3,2,0,"I",,"May","July",2,2,"insects","Ds (syrphid flowers)Typical pollinators: syrphids",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Veronica officinalis","Veronica_officinalis","Plantaginaceae","Veroniceae",1,0,1,0,"I",,"June","August",2,2,"insects","B (flowers with totally hidden nectar)Typical pollinators: bees, bumblebees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Veronica prostrata","Veronica_prostrata","Plantaginaceae","Veroniceae",1,1,0,0,"I",,"April","July",3,3,"insects","B (flowers with totally hidden nectar)Typical pollinators: bees, bumblebees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Veronica sublobata","Veronica_hederifolia","Plantaginaceae","Veroniceae",12,5,1,6,"I",,"March","May",2,2,"selfing",,0,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Vicia angustifolia","Vicia_sativa_subsp._cordata","Fabaceae","Fabeae",27,11,9,7,"A",,"May","July",2,2,"insects","H (hymenoptere flowers)Typical pollinators: hymenopteres",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","limited evidence on Vicia Sativa (Picon et al. 1991); FDA =  1261",0
"Vicia cracca","Vicia_cracca","Fabaceae","Fabeae",1,0,1,0,"I",,"June","August",2,2,"insects","H (hymenoptere flowers)Typical pollinators: hymenopteres",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","limited evidence on Vicia Sativa (Picon et al. 1991); FDA =  1261",0
"Vicia hirsuta","Vicia_hirsuta","Fabaceae","Fabeae",23,7,11,5,"A",,"June","July",1,1,"insects-selfing","H (hymenoptere flowers)Typical pollinators: hymenopteres",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","pollen : limited evidence on Vicia Sativa (Picon et al. 1991); FDA =  1261: severe contact allergy - Occupational allergic contact dermatitis caused by weeds of the Compositae, Fabaceae and Rosaceae plant families",0
"Vicia lathyroides","Vicia_lathyroides","Fabaceae","Fabeae",27,8,7,12,"I",,"April","June",2,2,"insects","H (hymenoptere flowers)Typical pollinators: hymenopteres",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","limited evidence on Vicia Sativa (Picon et al. 1991); FDA =  1261",0
"Vicia sepium","Vicia_sepium","Fabaceae","Fabeae",1,0,1,0,"I",,"May","June",1,1,"insects","H (hymenoptere flowers)Typical pollinators: hymenopteres",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","limited evidence on Vicia Sativa (Picon et al. 1991); FDA =  1261",0
"Vicia tetrasperma","Vicia_tetrasperma","Fabaceae","Fabeae",2,0,2,0,"A",,"June","July",1,1,"insects-selfing","H (hymenoptere flowers)Typical pollinators: hymenopteres",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","limited evidence on Vicia Sativa (Picon et al. 1991); FDA =  1261",0
"Vicia villosa","Vicia_villosa","Fabaceae","Fabeae",7,1,2,4,"A",,"June","September",3,3,"insects","H (hymenoptere flowers)Typical pollinators: hymenopteres",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","limited evidence on Vicia Sativa (Picon et al. 1991); FDA =  1261",0
"Viola arvensis","Viola_arvensis","Violaceae",,2,1,1,0,"A",,"April","October",6,3,"insects","Hb (bee flowers )Typical pollinators: bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Viola canina","Viola_canina","Violaceae",,3,1,2,0,"I",,"May","June",1,1,"insects","Hb (bee flowers )Typical pollinators: bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Viola suavis","Viola_suavis","Violaceae",,1,0,1,0,"N",1899,"March","April",1,1,"insects","Hb (bee flowers )Typical pollinators: bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Viola tricolor","Viola_tricolor","Violaceae",,1,1,0,0,"A",,"April","September",5,3,"insects","Hb (bee flowers )Typical pollinators: bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
