"Species_name","Accepted_name","Family","Tribe","Frequency","Freq_rural","Freq_suburb","Freq_urban","Status_Berlin","first_evidence","Flowering_beg","Flowering_end","fl_period","phenology_score","main_pollination","Mueller_flower_type","pollen_score","trait_source","allergenicity_strict","allergenicity","allergen_score","PAV","IUIS","SDAP","Allergenonline","Allergome","AllFam","additional_ref","react_europe_Allergome","FDA_allergen_code","ref_severity","Comment_severity","molecule_unknown"
"Cerastium holosteoides","Cerastium_fontanum_subsp._vulgare","Caryophyllaceae","Alsineae",14,5,4,5,"I",,"March","June",3,3,"insects","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Cerastium semidecandrum","Cerastium_semidecandrum","Caryophyllaceae","Alsineae",50,16,16,18,"I",,"March","May",2,2,"insects-selfing","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Chenopodium album","Chenopodium_album","Chenopodiaceae","Atripliceae",1,0,0,1,"I",,"July","October",3,3,"wind","Wb (wind flowers occassionally visited by insect)Typical pollinators: Short tongued bees, syrphids, flies, beetles",3,"BioFlor- 2018",1,1,2,18,1,1,1,1,1,1,"8%",1134,"Weber 2015; Gadermaier 2004","Major allergen in some areas (Saudi arabia...), but perhaps not in europe?",0
"Chondrilla juncea","Chondrilla_juncea","Asteraceae","Cichorieae",15,6,7,2,"I",,"July","September",2,2,"insects","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Cirsium arvense","Cirsium_arvense","Asteraceae","Cardueae",1,1,0,0,"I",,"July","September",2,2,"insects","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Cirsium vulgare","Cirsium_vulgare","Asteraceae","Cardueae",1,1,0,0,"I",,"June","September",3,3,"insects","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Clematis vitalba","Clematis_vitalba","Ranunculaceae","Anemoneae",1,0,0,1,"N",1957,"June","August",2,2,"insects","PoDe (transition type pollen flowers - nasty flowers)Typical pollinators: short tounged bees, syrphids, muscids, beetles",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,1,"",,"Hruska 2003","anecdotal evidence only; no further evidence; some reports of contact dermatitis",0
"Convolvulus arvensis","Convolvulus_arvensis","Convolvulaceae","Convolvuleae",16,5,5,6,"A",,"June","September",3,3,"insects","B (flowers with totally hidden nectar)Typical pollinators: bees, bumblebees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,1,"",,"Hruska 2003","anecdotal evidence only; one other mention in italian allergens (CIAMPOLINI E  & CRESTI M., 1981)",0
"Conyza canadensis","Conyza_canadensis","Asteraceae","Astereae",16,7,4,5,"N",1787,"July","October",3,3,"selfing","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",0,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,1,"",,"Ščevková 2014","anecdotal evidence only",0
"Corynephorus canescens","Corynephorus_canescens","Poaceae","Poeae",10,4,4,2,"I",,"June","July",1,1,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,3,9,0,0,0,0,0,1,"",,"Weber 2004","cross-reactivity with other Pooideae, Poeae grasses",0
"Crepis capillaris","Crepis_capillaris","Asteraceae","Cichorieae",10,4,5,1,"A",,"June","October",4,3,"insects","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Cynoglossum officinale","Cynoglossum_officinale","Boraginaceae","Cynoglosseae",1,1,0,0,"I",,"May","July",2,2,"insects","B (flowers with totally hidden nectar)Typical pollinators: bees, bumblebees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Cytisus scoparius","Cytisus_scoparius","Fabaceae","Genisteae",1,1,0,0,"I",,"May","June",1,1,"insects-selfing","H (hymenoptere flowers)Typical pollinators: hymenopteres",1,"BioFlor- 2018",1,1,1,1,0,0,0,0,0,1,"",1245,"Weber 1985","allergenicity unclear. FDA says no allergen",1
"Dactylis glomerata","Dactylis_glomerata","Poaceae","Poeae",16,4,5,7,"I",,"May","July",2,2,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,4,24,1,1,1,1,1,1,"43%",,"Weber 2004","cross-reactivity with other Pooideae; Allergome; IUIS",0
"Danthonia decumbens","Danthonia_decumbens","Poaceae","Danthonieae",1,0,1,0,"I",,"June","July",1,1,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,1,3,0,0,0,0,0,1,"",,"Weber 2004","no clear info on Danthonia - Default allergen score = 1 for a Poaceae",0
"Daucus carota","Daucus_carota","Apiaceae","Scandiceae",6,1,4,1,"I",,"June","September",3,3,"insects","A (flowers with open nectar)Typical pollinators: beetles, flies, syrphids, wasps, medium tongued bees",1,"BioFlor- 2018",0,0,0,0,1,1,1,0,0,0,"",,"","Only the root is a known food allergen",0
"Deschampsia flexuosa","Deschampsia_flexuosa","Poaceae","Poeae",2,2,0,0,"I",,"June","August",2,2,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,3,18,0,0,0,0,0,1,"",,"Weber 2004","cross-reactivity with other Pooideae, Poeae grasses",0
